"","estacion","departamento","provincia","municipio","latitud","longitud","altitud","tipo","propietario","financiador"
169,"Comarapa","Cruz","Manuel Maria Caballero","Comarapa",-17.9136,-64.5297,1824,"Meteorológica de 4to Orden","SENAMHI","OMM"
170,"Comarapa - GPRS","Cruz","Manuel Maria Caballero","Comarapa",-17.9186,-64.5258,1842,"Meteorológica de 2do Orden","MMAyA (Ministerio de Medio Ambiente y Agua)","MMAyA (Ministerio de Medio Ambiente y Agua)"
171,"El Quiñe","Cruz","Manuel Maria Caballero","Comarapa",-18.0833,-64.35,1930,"Meteorológica de 3er Orden","SENAMHI","OMM"
172,"San Juan de Potrero","Cruz","Manuel Maria Caballero","Comarapa",-17.9631,-64.2892,1553,"Meteorológica de 4to Orden","SENAMHI","OMM"
173,"Minero - UNAGRO","Cruz","Obispo Santistevan","Mineros",-17.11,-63.2417,245,"Meteorológica de 3er Orden","UNAGRO","UNAGRO"
174,"Montero","Cruz","Obispo Santistevan","Montero",-17.3433,-63.2556,300,"Meteorológica de 3er Orden","SENAMHI","OMM"
175,"Valle Grande - Aeropuerto","Cruz","Vallegrande","Vallegrande",-18.4819,-64.1081,2001,"Meteorológica de 2do Orden","AASANA","AASANA"
176,"San Francisco","Cruz","Velasco","San Ignacio de Velasco",-15.3119,-61.4367,249,"Meteorológica de 4to Orden","SENAMHI","OMM"
177,"San Ignacio de Velasco - Aerop","Cruz","Velasco","San Ignacio de Velasco",-16.3817,-60.9619,415,"Meteorológica de 2do Orden","AASANA","AASANA"
178,"Okinawa 1","Cruz","Warnes","Okinawa Uno",-17.2167,-62.8833,252,"Meteorológica de 3er Orden","SENAMHI","OMM"
179,"Viru Viru - Aeropuerto","Cruz","Warnes","Warnes",-17.6486,-63.1389,378,"Meteorológica de 2do Orden","AASANA","AASANA"
180,"Concepción - Aeropuerto","Cruz","Ñuflo de Chavez","Concepción",-16.1383,-62.0275,504,"Meteorológica de 2do Orden","AASANA","AASANA"
181,"Cuatro Cañadas - GPRS","Cruz","Ñuflo de Chavez","Cuatro Cañadas",-17.226865,-62.150628,259,"Meteorológica de 2do Orden","Municipio","PROFIN"
182,"San Javier - Aeropuerto","Cruz","Ñuflo de Chavez","San Javier",-16.2714,-62.4708,538,"Meteorológica de 2do Orden","AASANA","AASANA"
183,"San Julian","Cruz","Ñuflo de Chavez","San Julián",-16.9103,-62.6258,249,"Meteorológica de 4to Orden","SENAMHI","OMM"
184,"San Julian - GPRS","Cruz","Ñuflo de Chavez","San Julián",-16.9103,-62.6258,248,"Meteorológica de 2do Orden","PROFIN - ANAPO","PROFIN"
185,"Sacabaya","Oruro","Atahuallpa","Sabaya",-18.5719,-68.7892,3845,"Meteorológica de 3er Orden","SENAMHI","OMM"
186,"Challapata","Oruro","Avaroa","Challapata",-18.8992,-66.7797,3744,"Meteorológica de 3er Orden","SENAMHI","FAO"
187,"Cruce Culta (Ventilla) - GPRS","Oruro","Avaroa","Challapata",-19.0742,-66.2447,4157,"Meteorológica de 2do Orden","EVAs - Municipio","EVAs - Municipio"
188,"Cruce Ventilla","Oruro","Avaroa","Challapata",-19.0761,-66.2108,4119,"Meteorológica de 4to Orden","SENAMHI","OMM"
189,"Tacagua - GPRS","Oruro","Avaroa","",-18.826,-66.7358,0,"Meteorológica de 2do Orden","VRHR - MMAyA","Banco Mundial"
190,"Corque - GPRS","Oruro","Carangas","Corque",-18.3458,-67.6808,3782,"Meteorológica de 2do Orden","Municipio","Municipio"
191,"Opoqueri","Oruro","Carangas","Corque",-18.5364,-67.8992,3806,"Meteorológica de 3er Orden","Gobernación - SENAMHI","FAO"
192,"Caracollo - Cadea","Oruro","Cercado","Caracollo",-17.6364,-67.2003,3798,"Meteorológica de 3er Orden","Universidad Mayor de San Andres - IHH","Universidad Mayor de San Andres - IHH"
193,"Caracollo CADEA - GPRS","Oruro","Cercado","Caracollo",-17.6364,-67.1997,3793,"Meteorológica de 2do Orden","Gobernacion de Oruro","Gobernacion de Oruro"
194,"La Joya","Oruro","Cercado","Caracollo",-17.7786,-67.4381,3724,"Meteorológica de 2do Orden","Municipio","Municipio"
195,"Cabaña Forestal Oruro","Oruro","Cercado","Oruro",-17.9719,-67.08,3706,"Meteorológica de 2do Orden","SENAMHI","OMM"
196,"Oruro - Aeropuerto","Oruro","Cercado","Oruro",-17.9528,-67.0797,3701,"Meteorológica de 2do Orden","AASANA","AASANA"
197,"UTO Oruro - GPRS","Oruro","Cercado","Oruro",-17.9928,-67.1389,3745,"Meteorológica de 2do Orden","UTO","UTO"
198,"Challapampa - A","Oruro","Cercado","Soracachi",-17.863,-67.102,3934,"Meteorológica de 2do Orden","IRD","IRD"
199,"Challapata - GPRS","Oruro","Cercado","Soracachi",-18.8847,-66.7869,3719,"Meteorológica de 2do Orden","Gobernacion de Oruro","Gobernacion de Oruro"
200,"Chillca","Oruro","Cercado","Soracachi",-17.8369,-66.8139,4025,"Meteorológica de 3er Orden","SENAMHI","FAO"
201,"Soracachi - GPRS","Oruro","Cercado","Soracachi",-17.7667,-67.0258,3900,"Meteorológica de 2do Orden","Gobernacion de Oruro","Gobernacion de Oruro"
202,"Aroma - GPRS","Oruro","Ladislao Cabrera","Salinas",-19.3227,-67.3147,3733,"Meteorológica de 2do Orden","FAO - Municipio","FAO - Municipio"
203,"Salar - A","Oruro","Ladislao Cabrera","Salinas de Garci-Mendo",-19.8872,-67.5238,3673,"Meteorológica de 2do Orden","IRD","IRD"
204,"San Martin","Oruro","Ladislao Cabrera","Salinas de Garci-Mendo",-19.2761,-67.6011,3732,"Meteorológica de 3er Orden","SENAMHI","OMM"
205,"Ucumasi","Oruro","Ladislao Cabrera","Salinas de Garci-Mendo",-19.1306,-67.4247,3763,"Meteorológica de 4to Orden","SENAMHI","OMM"
206,"Huayllamarca","Oruro","Nor Carangas","Huayllamarca",-17.8356,-67.9397,3852,"Meteorológica de 3er Orden","SENAMHI","OMM"
207,"Antequera - GPRS","Oruro","Poopó","Pazña",-18.4933,-66.8831,3920,"Meteorológica de 2do Orden","Gobernacion de Oruro","Gobernacion de Oruro"
208,"Poopo - GPRS","Oruro","Poopó","Poopó",-18.3828,-66.9783,3900,"Meteorológica de 2do Orden","Gobernacion de Oruro","Gobernacion de Oruro"
209,"Chipaya - GPRS","Oruro","Sabaya","Chipaya",-19.0439,-68.0858,3678,"Meteorológica de 2do Orden","SENAMHI","CIMA - Italia"
210,"Curahuara de Carangas","Oruro","Sajama","Curahuara de Carangas",-17.8425,-68.4164,3906,"Meteorológica de 3er Orden","SENAMHI","OMM"
211,"Curahuara de Carangas - GPRS","Oruro","Sajama","Curahuara de Carangas",-17.8414,-68.4078,3906,"Meteorológica de 2do Orden","FAO - Municipio","FAO - Municipio"
212,"Sajama","Oruro","Sajama","Curahuara de Carangas",-18.1372,-68.9742,3745,"Meteorológica de 2do Orden","SENAMHI","OMM"
213,"Cosapa","Oruro","Sajama","Turco",-18.1778,-68.7064,3917,"Meteorológica de 3er Orden","SENAMHI","OMM"
214,"Toledo - GPRS","Oruro","Saucari","Toledo",-18.1797,-67.4047,0,"Meteorológica de 2do Orden","FAO - Municipio","FAO - Municipio"
215,"San Pedro de Condo","Oruro","Sebastian Pagador","Santiago de Huari",-19.0406,-66.7425,3844,"Meteorológica de 3er Orden","Universidad Mayor de San Andres - IHH","Universidad Mayor de San Andres - IHH"
216,"Yanuma Condo","Oruro","Sebastian Pagador","Santiago de Huari",-19.0164,-66.7228,4041,"Meteorológica de 2do Orden","IHH - UMSA","IHH - UMSA"
217,"Andamarca","Oruro","Sud Carangas","Santiago de Andamarca",-18.7667,-67.5167,3676,"Meteorológica de 3er Orden","SENAMHI","OMM"
218,"Chiuo - A","Oruro","Sud Carangas","Santiago de Andamarca",-18.85,-67.15,3740,"Meteorológica de 2do Orden","IRD","IRD"
219,"Orinoca","Oruro","Sud Carangas","Santiago de Andamarca",-18.9719,-67.2644,3797,"Meteorológica de 2do Orden","SENAMHI","OMM"
220,"Orinoca-GPRS","Oruro","Sud Carangas","Santiago de Andamarca",-18.9736,-67.2583,3797,"Meteorológica de 2do Orden","UTO","UTO"
221,"Nueva Esperanza - GPRS","Pando","Federico Roman","Nueva Esperanza",-10.0568,-65.3332,113,"Meteorológica de 2do Orden","Gobernacion de Pando","Gobernacion de Pando"
222,"Comunidad Sena - GPRS","Pando","Madre de Dios","El Sena",-11.4917,-67.2409,179,"Meteorológica de 2do Orden","Gobernacion de Pando","Gobernacion de Pando"
223,"Humaytha","Pando","Manuripi","San Pedro",-10.8333,-66.47,100,"Meteorológica de 4to Orden","SENAMHI","FAO"
224,"El Carmen","Pando","Nicolas Suarez","Bella Flor",-11.0833,-67.6794,184,"Meteorológica de 4to Orden","China Harzone","China Harzone"
225,"Monte Alegre","Pando","Nicolas Suarez","Bella Flor",-11.1167,-68.4172,245,"Meteorológica de 4to Orden","China Harzone","China Harzone"
226,"Santa Lucia","Pando","Nicolas Suarez","Bella Flor",-11.0886,-67.8833,228,"Meteorológica de 4to Orden","China Harzone","China Harzone"
227,"Cobija - Aeropuerto","Pando","Nicolas Suarez","Cobija",-11.0397,-68.7803,233,"Meteorológica de 2do Orden","AASANA","AASANA"
228,"Ayo Ayo","Paz","Aroma","Ayo Ayo",-17.0942,-68.0083,3888,"Meteorológica de 3er Orden","SENAMHI","OMM"
229,"Calamarca - A","Paz","Aroma","Calamarca",-16.9081,-68.114,4041,"Meteorológica de 2do Orden","MMAyA (Ministerio de Medio Ambiente y Agua)","MMAyA (Ministerio de Medio Ambiente y Agua)"
230,"Collana","Paz","Aroma","Collana",-16.9036,-68.2833,3911,"Meteorológica de 3er Orden","SENAMHI","OMM"
231,"Collana - A","Paz","Aroma","Collana",-16.9003,-68.2817,3910,"Meteorológica de 2do Orden","MMAyA (Ministerio de Medio Ambiente y Agua)","MMAyA (Ministerio de Medio Ambiente y Agua)"
232,"Patacamaya - GPRS","Paz","Aroma","Patacamaya",-17.2608,-67.9428,3789,"Meteorológica de 2do Orden","SENAMHI","FAO"
233,"Conchamarca","Paz","Aroma","Sica Sica",-17.3781,-67.4572,3965,"Meteorológica de 4to Orden","SENAMHI","OMM"
234,"Salla","Paz","Aroma","Sica Sica",-17.1903,-67.6208,3500,"Meteorológica de 4to Orden","SENAMHI","OMM"
235,"Charazani","Paz","Bautista Saavedra","Juan José Pérez (Chara",-15.1953,-69.0036,3659,"Meteorológica de 4to Orden","SENAMHI","OMM"
236,"Charazani - GPRS","Paz","Bautista Saavedra","Juan José Pérez (Charazani)",-15.1875,-69.0306,3650,"Meteorológica de 2do Orden","FAO - Municipio","FAO - Municipio"
237,"Wila Kala - GPRS","Paz","Camacho","Moco Moco",-15.3572,-69.0447,4264,"Meteorológica de 2do Orden","SENAMHI","FAO"
238,"Villa Puni","Paz","Camacho","Puerto Acosta",-15.6664,-69.1672,3835,"Meteorológica de 3er Orden","SENAMHI","OMM"
239,"Carabuco","Paz","Camacho","Puerto Carabuco",-15.7589,-69.0658,3823,"Meteorológica de 3er Orden","SENAMHI","OMM"
240,"Bella Vista - GPRS","Paz","Caranavi","Alto Beni",-15.6231,-67.4231,859,"Meteorológica de 2do Orden","SENAMHI","FAO"
241,"Sara Ana","Paz","Caranavi","Alto Beni",-15.4581,-67.4767,365,"Meteorológica de 3er Orden","FiBL: Instituto de Investigaciones para la Agricul","FiBL: Instituto de Investigaciones para la Agricul"
242,"Caranavi","Paz","Caranavi","Caranavi",-15.8347,-67.5736,600,"Meteorológica de 3er Orden","SENAMHI","OMM"
243,"Los Incas","Paz","Caranavi","Caranavi",-15.6717,-67.4919,1524,"Meteorológica de 4to Orden","ISOLUX","ISOLUX"
244,"Puerto Leon","Paz","Caranavi","Caranavi",-16.0042,-67.5869,805,"Meteorológica de 4to Orden","ISOLUX","ISOLUX"
245,"Santa Rita de Buenos Aires","Paz","Caranavi","Caranavi",-15.6924,-67.5736,550,"Meteorológica de 4to Orden","SENAMHI","FAO"
246,"Catacora","Paz","Gral. Jose Manuel Pando","Catacora",-17.1586,-69.4864,4253,"Meteorológica de 3er Orden","SENAMHI","OMM"
247,"Santiago de Machaca","Paz","Gral. Jose Manuel Pando","Santiago de Machaca",-17.0667,-69.1994,3883,"Meteorológica de 3er Orden","SENAMHI","OMM"
248,"San Jose Alto","Paz","Gualberto Villarroel","Papel Pampa",-17.7044,-67.7786,3746,"Meteorológica de 4to Orden","SENAMHI","OMM"
249,"Jesus de Machaca - GPRS","Paz","Ingavi","Jesus de Machaca",-16.774,-68.827,0,"Meteorológica de 2do Orden","Cuenca Katari - MMAyA","BID"
250,"Laja Sacacani - GPRS","Paz","Ingavi","Laja",-16.671,-68.5001,0,"Meteorológica de 2do Orden","Cuenca Katari - MMAyA","BID"
251,"S Andres de Machaca - GPRS","Paz","Ingavi","San Andres de Macha",-16.9553,-68.9696,0,"Meteorológica de 2do Orden","Cuenca Katari - MMAyA","BID"
252,"Tiahuanaco - GPRS","Paz","Ingavi","Tiahuanaco",-16.5463,-68.6846,0,"Meteorológica de 2do Orden","Cuenca Katari - MMAyA","BID"
253,"Tambillo","Paz","Ingavi","Viacha",-16.5211,-68.5044,3833,"Meteorológica de 4to Orden","SENAMHI","OMM"
254,"Tambillo - A","Paz","Ingavi","Viacha",-16.5211,-68.5044,3833,"Meteorológica de 2do Orden","MMAyA (Ministerio de Medio Ambiente y Agua)","MMAyA (Ministerio de Medio Ambiente y Agua)"
255,"Tambillo IRD - A","Paz","Ingavi","Viacha",-16.5211,-68.5048,3840,"Meteorológica de 2do Orden","IRD","IRD"
256,"Viacha - A","Paz","Ingavi","Viacha",-16.6583,-68.2819,3850,"Meteorológica de 3er Orden","IRD","IRD"
257,"Viacha - GPRS","Paz","Ingavi","Viacha",-16.6583,-68.2821,0,"Meteorológica de 2do Orden","Cuenca Katari - MMAyA","BID"
258,"Circuata","Paz","Inquisivi","Cajuata",-16.6372,-67.2522,2012,"Meteorológica de 4to Orden","SENAMHI","OMM"
259,"Choquetanga Grande","Paz","Inquisivi","Inquisivi",-16.845,-67.3164,3238,"Meteorológica de 4to Orden","ISOLUX","ISOLUX"
260,"Chorocona","Paz","Inquisivi","Inquisivi",-16.8828,-67.1497,2240,"Meteorológica de 3er Orden","SENAMHI","OMM"
261,"Ixiamas","Paz","Iturralde","Ixiamas",-13.7719,-68.1317,274,"Meteorológica de 4to Orden","ISOLUX","ISOLUX"
262,"San Buenaventura","Paz","Iturralde","San Buenaventura",-14.4233,-67.5478,193,"Meteorológica de 4to Orden","ISOLUX","ISOLUX"
263,"Tumupasa","Paz","Iturralde","San Buenaventura",-14.1833,-67.8169,328,"Meteorológica de 4to Orden","ISOLUX","ISOLUX"
264,"Guanay - GPRS","Paz","Larecaja","Guanay",-15.5028,-67.8858,410,"Meteorológica de 2do Orden","SENAMHI","FAO"
265,"Quiabaya","Paz","Larecaja","Quiabaya",-15.5833,-68.7667,1829,"Meteorológica de 4to Orden","SENAMHI","OMM"
266,"Sorata","Paz","Larecaja","Sorata",-15.7667,-68.6517,2647,"Meteorológica de 3er Orden","SENAMHI","OMM"
267,"Alto Peñas - GPRS","Paz","Los Andes","Batallas",-16.2022,-68.4503,4056,"Meteorológica de 2do Orden","EMAGUA",""
268,"Chachacomani - GPRS","Paz","Los Andes","Batallas",-16.1083,-68.5081,4107,"Meteorológica de 2do Orden","CARE - Municipio de Batallas","CARE - Municipio de Batallas"
269,"Chirapaca","Paz","Los Andes","Batallas",-16.2994,-68.4981,3889,"Meteorológica de 3er Orden","SENAMHI","OMM"
270,"Hichucota","Paz","Los Andes","Batallas",-16.1767,-68.3811,4460,"Meteorológica de 3er Orden","SENAMHI","OMM"
271,"Huayrocondo","Paz","Los Andes","Batallas",-16.3431,-68.4969,3875,"Meteorológica de 3er Orden","SENAMHI","OMM"
272,"Igachi - GPRS","Paz","Los Andes","Batallas",-16.25,-68.5333,3950,"Meteorológica de 2do Orden","PROFIN - Municipio","PROFIN - Municipio"
273,"Isquillani - GPRS","Paz","Los Andes","Batallas",-16.2311,-68.45,3875,"Meteorológica de 2do Orden","Municipio de Batallas","Municipio de Batallas"
274,"Yaurichambi - GPRS","Paz","Los Andes","Batallas",-16.3261,-68.4811,3901,"Meteorológica de 2do Orden","CARE - Municipio","CARE - Municipio"
275,"Huarisuyo - GPRS","Paz","Los Andes","Pucarani",-16.3569,-68.5044,3696,"Meteorológica de 2do Orden","EMAGUA",""
276,"Laguna Tuni - GPRS","Paz","Los Andes","Pucarani",-16.2425,-68.2286,4458,"Meteorológica de 2do Orden","MMAyA (Ministerio de Medio Ambiente y Agua)",""
277,"Pucarani","Paz","Los Andes","Pucarani",-16.3961,-68.4747,3854,"Meteorológica de 4to Orden","SENAMHI","OMM"
278,"Isla Suriqui - GPRS","Paz","Los Andes","Puerto Perez",-16.3047,-68.7708,0,"Meteorológica de 2do Orden","Cuenca Katari - MMAyA","BID"
279,"Suriki - A","Paz","Los Andes","Puerto Perez",-16.3049,-68.7563,3824,"Meteorológica de 2do Orden","IRD","IRD"
280,"Copacabana","Paz","Manco Kapac","Copacabana",-16.1692,-69.0886,3870,"Meteorológica de 3er Orden","SENAMHI","OMM"
281,"Copacabana - GPRS","Paz","Manco Kapac","Copacabana",-16.1879,-69.0916,0,"Meteorológica de 2do Orden","Cuenca Katari - MMAyA","BID"
282,"Isla de la Luna - A","Paz","Manco Kapac","Copacabana",-16.0471,-69.0562,3822,"Meteorológica de 2do Orden","IRD","IRD"
283,"Isla del Sol","Paz","Manco Kapac","Copacabana",-16.0367,-69.1483,3976,"Meteorológica de 3er Orden","SENAMHI","OMM"
284,"San Pedro de Tiquina - GPRS","Paz","Manco Kapac","san Pedro de Tiquina",-16.2199,-68.8544,0,"Meteorológica de 2do Orden","Cuenca Katari - MMAyA","BID"
285,"Achocalla","Paz","Murillo","Achocalla",-16.5811,-68.1608,3764,"Meteorológica de 4to Orden","SENAMHI","OMM"
286,"Alto Lima - A","Paz","Murillo","El Alto",-16.4558,-68.1622,4264,"Meteorológica de 2do Orden","MMAyA - EPSAS","MMAyA - EPSAS"
287,"Alto Lima - D6","Paz","Murillo","El Alto",-16.4803,-68.1747,4135,"Meteorológica de 3er Orden","Municipio de El Alto","Municipio de El Alto"
288,"Ciudad Satelite - D1","Paz","Murillo","El Alto",-16.5253,-68.1508,4078,"Meteorológica de 3er Orden","Municipio de El Alto","Municipio de El Alto"
289,"El Alto - Aeropuerto","Paz","Murillo","El Alto",-16.5103,-68.1986,4034,"Meteorológica de 2do Orden","AASANA","AASANA"
290,"Juan Pablo de Laja - D12","Paz","Murillo","El Alto",-16.5589,-68.2353,3950,"Meteorológica de 3er Orden","Municipio de El Alto","Municipio de El Alto"
291,"Julian Apaza - D5","Paz","Murillo","El Alto",-16.4875,-68.2183,4054,"Meteorológica de 3er Orden","Municipio de El Alto","Municipio de El Alto"
292,"Laguna Milluni - GPRS","Paz","Murillo","El Alto",-16.3648,-68.1644,4549,"Meteorológica de 2do Orden","MMAyA (Ministerio de Medio Ambiente y Agua)",""
293,"San Roque D7 - GPRS","Paz","Murillo","El Alto",-16.4753,-68.2711,3989,"Meteorológica de 2do Orden","COOPI - Municipio","COOPI - Municipio"
294,"Senkata - D8","Paz","Murillo","El Alto",-16.5858,-68.1861,3977,"Meteorológica de 3er Orden","Municipio de El Alto","Municipio de El Alto"
295,"Achumani","Paz","Murillo","La Paz",-16.5311,-68.0706,3384,"Meteorológica de 3er Orden","SENAMHI","OMM"
296,"Alto Achachicala","Paz","Murillo","La Paz",-16.3472,-68.0847,4383,"Meteorológica de 3er Orden","SENAMHI","OMM"
297,"Alto Obrajes-B. Magisterio","Paz","Murillo","La Paz",-16.5228,-68.1008,3480,"Meteorológica de 4to Orden","SENAMHI","FAO"
298,"Chacaltaya","Paz","Murillo","La Paz",-16.3494,-68.1325,5188,"Meteorológica de 3er Orden","ISOLUX","ISOLUX"
299,"Chacaltaya - SENAMHI - GPRS","Paz","Murillo","La Paz",-16.3469,-68.1283,5378,"Meteorológica de 1er Orden","SENAMHI","FAO"
300,"Chuquiaguillo","Paz","Murillo","La Paz",-16.4497,-68.0925,4024,"Meteorológica de 4to Orden","SENAMHI","OMM"
301,"El Tejar - La Paz","Paz","Murillo","La Paz",-16.4961,-68.1558,3820,"Meteorológica de 4to Orden","SENAMHI","OMM"
302,"Hampaturi - GPRS","Paz","Murillo","La Paz",-16.4158,-68.0221,4205,"Meteorológica de 2do Orden","MMAyA (Ministerio de Medio Ambiente y Agua)",""
303,"Huaylipaya","Paz","Murillo","La Paz",-16.0425,-68.0008,1314,"Meteorológica de 4to Orden","SENAMHI","SENAMHI"
304,"Laycacota","Paz","Murillo","La Paz",-16.5044,-68.1231,3635,"Meteorológica de 2er Orden","SENAMHI","OMM"
305,"Pasankeri","Paz","Murillo","La Paz",-16.5225,-68.1439,3935,"Meteorológica de 4to Orden","SENAMHI","OMM"
306,"San Calixto","Paz","Murillo","La Paz",-16.4953,-68.1325,3658,"Meteorológica de 2do Orden","SENAMHI","OMM"
307,"Villa Copacabana","Paz","Murillo","La Paz",-16.4828,-68.1139,3680,"Meteorológica de 4to Orden","SENAMHI","OMM"
308,"Vino Tinto","Paz","Murillo","La Paz",-16.4808,-68.1392,3865,"Meteorológica de 4to Orden","SENAMHI","OMM"
309,"Zongo - Plataforma - A","Paz","Murillo","La Paz",-16.2814,-68.1208,4762,"Meteorológica de 1er Orden","SENAMHI","FAO"
310,"Mecapaca","Paz","Murillo","Mecapaca",-16.6711,-68.0183,2680,"Meteorológica de 3er Orden","SENAMHI","OMM"
311,"Palca","Paz","Murillo","Palca",-16.5606,-67.9514,3478,"Meteorológica de 2do Orden","SENAMHI","OMM"
312,"Pinaya","Paz","Murillo","Palca",-16.6383,-67.8583,3870,"Meteorológica de 4to Orden","SENAMHI","OMM"
313,"Camata","Paz","Muñecas","Ayata",-15.2483,-68.745,2250,"Meteorológica de 3er Orden","SENAMHI","OMM"
314,"Coripata","Paz","Nor Yungas","Coripata",-16.3242,-67.6044,1788,"Meteorológica de 3er Orden","SENAMHI","OMM"
315,"Dorado Chico - GPRS","Paz","Nor Yungas","Coripata",-16.2744,-67.6261,1639,"Meteorológica de 2do Orden","SENAMHI","FAO"
316,"Chuspipata","Paz","Nor Yungas","Coroico",-16.3039,-67.8153,2993,"Meteorológica de 3er Orden","Universidad Mayor de San Andres - IHH","Universidad Mayor de San Andres - IHH"
317,"Incapampa","Paz","Nor Yungas","Coroico",-16.2256,-67.7281,1586,"Meteorológica de 3er Orden","SENAMHI","FAO"
318,"El Belen","Paz","Omasuyos","Achacachi",-16.0164,-68.6978,3833,"Meteorológica de 3er Orden","SENAMHI","OMM"
319,"Ancoraimes","Paz","Omasuyos","Ancoraimes",-15.8983,-68.9042,3882,"Meteorológica de 4to Orden","SENAMHI","FAO"
320,"Chua Cocani - GPRS","Paz","Omasuyos","Chua",-16.1846,-68.7488,0,"Meteorológica de 2do Orden","Cuenca Katari - MMAyA","BID"
321,"Huarina - GPRS","Paz","Omasuyos","Huarina",-16.1801,-68.6329,0,"Meteorológica de 2do Orden","Cuenca Katari - MMAyA","BID"
322,"Huatajata IRD","Paz","Omasuyos","Huarina",-16.2133,-68.69,3829,"Meteorológica de 2do Orden","IRD","IRD"
323,"Santiago de Huata","Paz","Omasuyos","Santiago de Huata",-16.0511,-68.8103,3845,"Meteorológica de 3er Orden","SENAMHI","OMM"
324,"Calacoto","Paz","Pacajes","Calacoto",-17.2806,-68.6356,3830,"Meteorológica de 3er Orden","SENAMHI","OMM"
325,"Santiago de Callapa (GPRS)","Paz","Pacajes","Callapa",-17.4764,-68.3561,3791,"Meteorológica de 2do Orden","SENAMHI","FAO"
326,"Achiri","Paz","Pacajes","Caquiaviri",-17.2117,-68.9994,3880,"Meteorológica de 3er Orden","SENAMHI","OMM"
327,"Jihuacuta","Paz","Pacajes","Caquiaviri",-16.8581,-68.6622,3912,"Meteorológica de 4to Orden","SENAMHI","OMM"
328,"Berenguela","Paz","Pacajes","Charaña",-17.2889,-69.2142,4145,"Meteorológica de 4to Orden","SENAMHI","OMM"
329,"Charaña - A","Paz","Pacajes","Charaña",-17.5912,-69.4485,4074,"Meteorológica de 2do Orden","IRD","IRD"
330,"Charaña - GPRS","Paz","Pacajes","Charaña",-17.5833,-69.4486,4000,"Meteorológica de 2do Orden","SENAMHI","FAO"
331,"Comanche - A","Paz","Pacajes","Coro Coro",-17.05,-68.4833,4097,"Meteorológica de 2do Orden","MMAyA (Ministerio de Medio Ambiente y Agua)","MMAyA (Ministerio de Medio Ambiente y Agua)"
332,"Chulumani - GPRS","Paz","Sud Yungas","Chulumani",-16.4086,-67.5275,1750,"Meteorológica de 2do Orden","SENAMHI","FAO"
333,"Miguillas","Paz","Sud Yungas","Irupana",-16.5519,-67.3389,1055,"Meteorológica de 4to Orden","ISOLUX","ISOLUX"
334,"Vila Vila - A","Paz","Sud Yungas","Irupana",-16.5436,-67.4336,2382,"Meteorológica de 1er Orden","SENAMHI","FAO"
335,"La Asunta - GPRS","Paz","Sud Yungas","La Asunta",-16.1267,-67.1967,756,"Meteorológica de 2do Orden","SENAMHI","FAO"
336,"Covendo","Paz","Sud Yungas","Palos Blancos",-15.83,-66.9497,500,"Meteorológica de 4to Orden","SENAMHI","OMM"
337,"Sapecho - GPRS","Paz","Sud Yungas","Palos Blancos",-15.5656,-67.325,410,"Meteorológica de 2do Orden","SENAMHI","FAO"
338,"Yanacachi - GPRS","Paz","Sud Yungas","Yanacachi",-16.3894,-67.7431,1920,"Meteorológica de 3er Orden","SENAMHI","FAO"
339,"Cerro Pelado","Paz","Sur Yungas","Palos Blancos",-15.4475,-67.1647,959,"Meteorológica de 4to Orden","SENAMHI","FAO"
340,"Sacaca","Potosi","Alonzo de Ibañez","Villa de Sacaca",-18.0667,-66.3833,3722,"Meteorológica de 3er Orden","SENAMHI","OMM"
341,"Chaquilla","Potosi","Antonio Quijarro","Porco",-19.8569,-66.1333,3599,"Meteorológica de 4to Orden","SENAMHI","OMM"
342,"Kilpani","Potosi","Antonio Quijarro","Tomave",-19.7811,-66.3483,3974,"Meteorológica de 4to Orden","SENAMHI","FAO"
343,"Lago Toro","Potosi","Antonio Quijarro","Tomave",-19.7008,-66.4075,4395,"Meteorológica de 4to Orden","SENAMHI","FAO"
344,"Molinos Pampa","Potosi","Antonio Quijarro","Tomave",-20.0697,-66.3378,3295,"Meteorológica de 4to Orden","SENAMHI","FAO"
345,"Tica Tica","Potosi","Antonio Quijarro","Tomave",-20.1833,-66.0167,3820,"Meteorológica de 4to Orden","SENAMHI","OMM"
346,"Tomave","Potosi","Antonio Quijarro","Tomave",-20.0672,-66.5311,3911,"Meteorológica de 3er Orden","SENAMHI","OMM"
347,"Uyuni","Potosi","Antonio Quijarro","Uyuni",-20.4722,-66.8314,3680,"Meteorológica de 3er Orden","SENAMHI","OMM"
348,"Uyuni - Aeropuerto","Potosi","Antonio Quijarro","Uyuni",-20.45,-66.8422,4000,"Meteorológica de 2do Orden","AASANA","AASANA"
349,"S. Pedro de Buena Vista - GPRS","Potosi","Charcas","San Pedro de Buena Vista",-18.26,-65.9922,2807,"Meteorológica de 2do Orden","EVAs - Municipio","EVAs - Municipio"
350,"Toro Toro","Potosi","Charcas","Toro Toro",-18.1833,-65.7167,2080,"Meteorológica de 3er Orden","SENAMHI","OMM"
351,"Ayoma","Potosi","Chayanta","Colquechaca",-18.8697,-66.1492,3522,"Meteorológica de 3er Orden","SENAMHI","OMM"
352,"Ravelo","Potosi","Chayanta","Ravelo",-18.8047,-65.5119,3200,"Meteorológica de 3er Orden","SENAMHI","OMM"
353,"Ravelo - GPRS","Potosi","Chayanta","Ravelo",-18.8011,-65.5239,3238,"Meteorológica de 2do Orden","Municipio","Banco Mundial"
