"","estacion","departamento","provincia","municipio","latitud","longitud","altitud","tipo","propietario","financiador"
27,"Huacareta - GPRS","Chuquisaca","Hernando Siles","Huacareta",-20.3636,-64.0022,1101,"Meteorológica de 2do Orden","COOPI - Municipio","COOPI - Municipio"
28,"Huacareta - La Galería","Chuquisaca","Hernando Siles","Huacareta",-20.3636,-64.0022,1116,"Meteorológica de 4to Orden","SENAMHI","OMM"
29,"Rosario del Ingre","Chuquisaca","Hernando Siles","Huacareta",-20.5808,-63.8947,912,"Meteorológica de 4to Orden","SENAMHI","OMM"
30,"Ñacamiri - Iguembecito","Chuquisaca","Hernando Siles","Huacareta",-20.7283,-64.0275,860,"Meteorológica de 4to Orden","SENAMHI","OMM"
31,"Huacaya - GPRS","Chuquisaca","Hernando Siles","Huacaya",-20.7439,-63.6639,898,"Meteorológica de 2do Orden","COOPI - Municipio","COOPI - Municipio"
32,"San Miguel del Bañado - GPRS","Chuquisaca","Hernando Siles","Monteagudo",-20.0789,-63.8864,991,"Meteorológica de 1er Orden","SENAMHI","FAO"
33,"Macharety","Chuquisaca","Luis Calvo","Macharety",-20.8136,-63.36,660,"Meteorológica de 4to Orden","SENAMHI","OMM"
34,"Tigüipa","Chuquisaca","Luis Calvo","Macharety",-21.0006,-63.3272,515,"Meteorológica de 4to Orden","SENAMHI","FAO"
35,"Chinimayu - GPRS","Chuquisaca","Nor Cinti","Camargo",-20.4167,-64.9833,3138,"Meteorológica de 2do Orden","PROFIN - Municipio","PROFIN - Municipio"
36,"La Palca - GPRS","Chuquisaca","Nor Cinti","Camargo",-20.7497,-65.2364,2322,"Meteorológica de 2do Orden","Municipio","Municipio"
37,"La Torre","Chuquisaca","Nor Cinti","Camargo",-20.6158,-65.1408,2420,"Meteorológica de 3er Orden","SENAMHI","OMM"
38,"Muyuquiri","Chuquisaca","Nor Cinti","Camargo",-20.4914,-65.1467,3120,"Meteorológica de 4to Orden","SENAMHI","OMM"
39,"Palca Grande","Chuquisaca","Nor Cinti","Camargo",-20.7406,-65.2356,2347,"Meteorológica de 3er Orden","SENAMHI","OMM"
40,"Incahuasi - GPRS","Chuquisaca","Nor Cinti","Incahasi",-20.8,-64.9,2990,"Meteorológica de 2do Orden","PROFIN - Municipio","PROFIN - Municipio"
41,"Presa Yana Khakha - GPRS","Chuquisaca","Nor Cinti","Incahuasi",-20.6846,-64.9563,3060,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Baanco Mundial"
42,"Corma - GPRS","Chuquisaca","Nor Cinti","San Lucas",-20.2375,-65.0436,3226,"Meteorológica de 2do Orden","Gobernacion de Chuquisaca","Baanco Mundial"
43,"Padcoyo","Chuquisaca","Nor Cinti","San Lucas",-20.2378,-65.1525,3397,"Meteorológica de 4to Orden","SENAMHI","OMM"
44,"Pulquina - GPRS","Chuquisaca","Nor Cinti","San Lucas",-19.85,-64.7167,2800,"Meteorológica de 2do Orden","SENAMHI","FAO"
45,"San Lucas","Chuquisaca","Nor Cinti","San Lucas",-20.1025,-65.1333,3047,"Meteorológica de 3er Orden","SENAMHI","OMM"
46,"San Lucas - GPRS","Chuquisaca","Nor Cinti","San Lucas",-20.1,-65.1161,3033,"Meteorológica de 2do Orden","Municipio","Municipio"
47,"Santa Elena","Chuquisaca","Nor Cinti","Villa Charcas",-20.5828,-64.7753,2176,"Meteorológica de 4to Orden","SENAMHI","OMM"
